Cost,Time,Env,Multiplier,Threshold_Label
13063.503969445348,126.0,169027186.27574554,0.2,0.2x ($A=0.2M$)
19781.82875108454,92.0,171740553.5380207,0.2,0.2x ($A=0.2M$)
14093.195569714673,123.0,165895906.8591452,0.2,0.2x ($A=0.2M$)
18036.477752785537,99.0,173818141.1224598,0.2,0.2x ($A=0.2M$)
14555.414874818132,119.0,167029903.50023833,0.2,0.2x ($A=0.2M$)
13379.619442293819,125.0,162992489.20972115,0.2,0.2x ($A=0.2M$)
19438.92584424092,91.0,179580133.69369113,0.2,0.2x ($A=0.2M$)
17396.460069156215,102.0,175192105.43645808,0.2,0.2x ($A=0.2M$)
18707.03875342762,94.0,184167521.32713223,0.2,0.2x ($A=0.2M$)
19077.31479668864,94.0,179431992.8983768,0.2,0.2x ($A=0.2M$)
16176.871619297797,105.0,187943031.9077538,0.2,0.2x ($A=0.2M$)
15723.870724919701,113.0,169304569.77151376,0.2,0.2x ($A=0.2M$)
15814.146298819973,111.0,171098382.54713255,0.2,0.2x ($A=0.2M$)
17217.14795281651,103.0,182553285.10625896,0.2,0.2x ($A=0.2M$)
13845.37778422959,122.0,167893083.87643677,0.2,0.2x ($A=0.2M$)
15184.582390466932,112.0,181850331.38498166,0.2,0.2x ($A=0.2M$)
16673.63314088777,104.0,180201370.14865708,0.2,0.2x ($A=0.2M$)
13991.200501918338,122.0,166607545.1979764,0.2,0.2x ($A=0.2M$)
15027.55428938712,117.0,168833257.8725024,0.2,0.2x ($A=0.2M$)
19256.896009002536,91.0,182269010.00695717,0.2,0.2x ($A=0.2M$)
17377.102638375527,101.0,177517291.40006128,0.2,0.2x ($A=0.2M$)
17070.8867938409,105.0,172148678.16375822,0.2,0.2x ($A=0.2M$)
17694.12683375191,99.0,183978228.77447456,0.2,0.2x ($A=0.2M$)
18830.153107211456,95.0,177268665.01194113,0.2,0.2x ($A=0.2M$)
14704.293439600388,114.0,178045865.0750428,0.2,0.2x ($A=0.2M$)
15409.983268136555,110.0,188222074.91344586,0.2,0.2x ($A=0.2M$)
13650.1050908979,123.0,169371843.01598102,0.2,0.2x ($A=0.2M$)
15636.706134710279,110.0,177930511.29911026,0.2,0.2x ($A=0.2M$)
15122.793221125496,115.0,175449232.1631546,0.2,0.2x ($A=0.2M$)
16780.06990650673,103.0,31311685.281152826,0.5,0.5x ($A=0.5M$)
14367.883929847925,121.0,26279022.170412403,0.5,0.5x ($A=0.5M$)
12757.655626778967,127.0,28131091.345696162,0.5,0.5x ($A=0.5M$)
12714.304706321635,127.0,28600722.540998466,0.5,0.5x ($A=0.5M$)
20310.863549694277,88.0,30029726.86836855,0.5,0.5x ($A=0.5M$)
16450.453042495705,107.0,29200733.986753676,0.5,0.5x ($A=0.5M$)
13581.286271543155,122.0,28383198.2298284,0.5,0.5x ($A=0.5M$)
16994.342318643347,100.0,31178394.152318545,0.5,0.5x ($A=0.5M$)
16326.375636674557,105.0,30452451.1583477,0.5,0.5x ($A=0.5M$)
16921.22013918423,101.0,30913529.73312216,0.5,0.5x ($A=0.5M$)
14759.884314209143,117.0,26746865.45557665,0.5,0.5x ($A=0.5M$)
19687.439890474445,91.0,30018457.89374388,0.5,0.5x ($A=0.5M$)
14525.494387029814,119.0,26471882.730885856,0.5,0.5x ($A=0.5M$)
17659.814358248972,99.0,30127278.880954586,0.5,0.5x ($A=0.5M$)
16070.73416684033,111.0,27383664.462528337,0.5,0.5x ($A=0.5M$)
19895.274340692733,90.0,29471116.698113743,0.5,0.5x ($A=0.5M$)
20066.241138889294,89.0,30050131.533395603,0.5,0.5x ($A=0.5M$)
18718.05583853026,95.0,29513261.633835476,0.5,0.5x ($A=0.5M$)
