Cost,Time,Env,Multiplier,Decay_Label
19859.399630888252,90.0,5009439.040419268,1.0,1.0x (Rate=0.10)
14579.217539641464,118.0,4273394.464038493,1.0,1.0x (Rate=0.10)
13829.405221525421,121.0,4321692.27438302,1.0,1.0x (Rate=0.10)
14100.971851061791,122.0,4163607.4271568493,1.0,1.0x (Rate=0.10)
16794.29169104176,103.0,5049428.618621108,1.0,1.0x (Rate=0.10)
17502.49395732779,101.0,4761832.559684661,1.0,1.0x (Rate=0.10)
13168.834044081614,125.0,4385669.425484474,1.0,1.0x (Rate=0.10)
15864.963007507567,110.0,4792059.763015483,1.0,1.0x (Rate=0.10)
16070.213488774427,108.0,4797924.543909941,1.0,1.0x (Rate=0.10)
16518.06567268851,105.0,5094563.833745096,1.0,1.0x (Rate=0.10)
20458.785744750247,88.0,4963802.183333747,1.0,1.0x (Rate=0.10)
15383.660133991756,112.0,4574135.088348089,1.0,1.0x (Rate=0.10)
18301.236798704576,94.0,5307181.225559419,1.0,1.0x (Rate=0.10)
19125.366784720496,97.0,4670919.020193951,1.0,1.0x (Rate=0.10)
19182.282549553616,92.0,5166061.396056608,1.0,1.0x (Rate=0.10)
20586.883532322685,89.0,4884084.511898305,1.0,1.0x (Rate=0.10)
14907.670848720762,115.0,4489535.1303259935,1.0,1.0x (Rate=0.10)
13019.111667253661,127.0,4208681.387635118,1.0,1.0x (Rate=0.10)
16159.069593669547,109.0,4531611.789765618,1.0,1.0x (Rate=0.10)
17161.185230792737,102.0,4819243.9056406,1.0,1.0x (Rate=0.10)
15170.702216553793,114.0,4433961.941368843,1.0,1.0x (Rate=0.10)
15621.12744225232,111.0,4640245.295370422,1.0,1.0x (Rate=0.10)
19590.257333715694,91.0,5061100.13259916,1.0,1.0x (Rate=0.10)
18110.6754879608,98.0,4925732.491823211,1.0,1.0x (Rate=0.10)
17571.39991264785,99.0,5201694.422562248,1.0,1.0x (Rate=0.10)
18552.066608865694,95.0,5113323.418751355,1.0,1.0x (Rate=0.10)
15734.670347662553,111.0,4461824.889445619,1.0,1.0x (Rate=0.10)
12720.939739101725,128.0,4348824.5920715425,1.0,1.0x (Rate=0.10)
15155.76952353,115.0,4360870.416235731,1.0,1.0x (Rate=0.10)
20165.042851522383,88.0,5127439.220210602,1.0,1.0x (Rate=0.10)
13449.5946447632,124.0,4202325.222382649,1.0,1.0x (Rate=0.10)
16268.12121310361,107.0,4773945.497431988,1.0,1.0x (Rate=0.10)
17849.41129958539,100.0,5013780.809241592,1.0,1.0x (Rate=0.10)
14295.777385632628,120.0,4341721.040518954,1.0,1.0x (Rate=0.10)
18027.297430560564,99.0,4874201.403162951,1.0,1.0x (Rate=0.10)
18033.758541919437,96.0,5284700.114085112,1.0,1.0x (Rate=0.10)
18880.88497753225,94.0,4998452.47217612,1.0,1.0x (Rate=0.10)
13737.021027554443,122.0,4542266.982643134,1.0,1.0x (Rate=0.10)
15641.43792907416,113.0,4285935.539591501,1.0,1.0x (Rate=0.10)
16947.48930891966,104.0,4850771.298579127,1.0,1.0x (Rate=0.10)
18681.853650362766,94.0,5252688.135215075,1.0,1.0x (Rate=0.10)
13385.279335402227,123.0,4726713.440992276,1.0,1.0x (Rate=0.10)
15268.388519157257,112.0,4634880.95078324,1.0,1.0x (Rate=0.10)
18665.187207884035,97.0,4909749.010436597,1.0,1.0x (Rate=0.10)
19616.476343355615,91.0,4959833.489737728,1.0,1.0x (Rate=0.10)
13341.875913466194,124.0,4618023.086747304,1.0,1.0x (Rate=0.10)
20146.759238991133,89.0,5138219.4120286675,1.0,1.0x (Rate=0.10)
14448.284799000932,119.0,4280742.075230747,1.0,1.0x (Rate=0.10)
17688.76065742789,100.0,5022133.75747385,1.0,1.0x (Rate=0.10)
14328.608620239476,119.0,4492426.692295882,1.0,1.0x (Rate=0.10)
13697.57634343687,123.0,4613976.697276967,1.0,1.0x (Rate=0.10)
15116.935238040183,113.0,4535779.850023974,1.0,1.0x (Rate=0.10)
15148.13129739634,114.0,4514674.115230252,1.0,1.0x (Rate=0.10)
17437.688860843788,103.0,5.538850823253092,1.5,1.5x (Rate=0.15)
20290.33224990707,88.0,5.661802503366165,1.5,1.5x (Rate=0.15)
12807.903198509928,128.0,5.666804132428922,1.5,1.5x (Rate=0.15)
